Dim_1,Dim_2
1.0883938,-9.19538
1.1819762,-8.9835825
1.2717452,-8.990976
1.3561523,-8.965027
1.2842654,-8.962584
10.655081,0.21492437
10.674257,0.2814354
10.695732,0.31690574
10.691328,0.3203324
10.693726,0.3330724
10.676488,0.32167616
10.698807,0.37370318
10.713246,0.3815961
10.709367,0.37809312
10.736834,0.44726706
10.717486,0.4004481
3.0375695,8.838386
10.708085,0.39198875
10.714649,0.40825886
10.719105,0.44822922
10.718165,0.5332089
10.716834,0.57469857
10.696685,0.5687757
10.718058,0.59936816
10.7231245,0.56675434
10.718281,0.62291056
10.718631,0.67809576
10.71448,0.67116976
10.712391,0.67937094
10.711968,0.71296287
10.712205,0.6698755
10.695181,0.7409835
10.714576,0.7301396
10.709861,0.7159243
10.707054,0.6977209
10.714783,0.92674106
10.700357,0.83551335
10.706164,0.75760764
10.699296,0.8870496
10.6722975,1.0671886
10.590039,1.4391624
10.675196,1.0269156
10.689291,0.9928384
10.627952,1.3060533
10.636729,1.2445709
10.619669,1.3129222
10.625269,1.4619784
10.777798,1.6394761
10.613464,1.4677644
10.625419,1.4292917
10.58215,1.5124222
10.561204,1.4647471
10.594739,1.4255861
10.578713,1.5038203
10.639508,1.5846547
10.880404,1.6773988
11.035672,1.8704059
10.575888,1.4819072
11.059072,1.8520339
11.047705,1.8750802
10.889676,1.7140046
10.556354,1.5502537
10.81182,1.699681
10.737415,1.7024848
10.776333,1.7176574
10.934899,1.7794904
11.060472,1.8726056
11.0131445,1.8471754
11.022782,1.8928916
10.568627,1.610891
10.697546,1.6177548
10.922948,1.7691226
10.651037,1.5543677
10.61993,1.5154876
11.047977,1.9603254
10.725255,1.7452767
11.006419,1.8722215
10.561742,1.5960494
10.696315,1.7160971
10.909459,1.7189854
10.708163,1.6282446
10.522885,1.5849737
10.508937,1.6305864
10.537483,1.5759456
10.517532,1.6038094
10.509325,1.6375029
10.5086355,1.5841458
10.545349,1.5966108
10.856579,1.6933564
10.497722,1.5877748
10.742963,1.6576531
10.511436,1.5955561
10.5269,1.6050966
10.707384,1.6718241
10.720295,1.6392254
10.747045,1.6468899
10.527602,1.6032981
10.566872,1.5826606
10.532427,1.5932854
11.055865,1.9708412
10.519356,1.9632103
10.730968,1.9219729
10.617358,1.9525863
11.030305,1.9905331
10.76799,1.9681894
11.04042,1.9532205
10.976657,1.9862276
10.579126,1.8870195
10.5987,1.7773256
11.058866,2.027788
10.638152,1.7927221
10.482167,1.991316
10.541592,1.7515508
10.97096,1.8879737
10.495799,1.9312767
10.5432005,2.0041602
10.782233,2.102527
10.515605,1.7927388
10.752771,2.1919196
10.557236,2.0632513
10.829454,2.040533
10.547764,1.9340365
10.858956,2.1360521
10.683459,2.0420015
11.026818,2.0166945
10.512825,2.1256707
11.004024,2.0372999
10.93911,2.2441933
11.009598,1.9932163
11.072059,2.0675323
10.936752,2.1311777
10.551998,2.209272
10.939912,2.1343653
11.018707,2.0135806
10.788909,1.997754
10.59795,2.1951337
10.725309,2.233462
10.601466,2.2319531
10.918776,2.059352
10.5825815,2.184099
10.905888,2.0831144
10.76776,2.1002326
10.535774,2.2418468
10.723025,2.2289758
10.686849,2.033079
10.940578,2.220148
10.559881,2.2524369
10.535974,2.2879963
10.546775,2.2681541
10.647362,2.2965143
10.64226,2.2690153
10.697277,2.2304318
10.738752,2.3112965
10.768122,2.2482443
10.67141,2.2193027
10.63111,2.280409
10.71043,2.3838782
10.600132,2.2816553
10.5842705,2.300561
10.597192,2.3119228
10.988382,2.1984391
10.579077,2.3159385
10.642054,2.3416796
10.946326,2.315235
10.99614,2.1772976
10.550344,2.3353918
10.572432,2.2578025
11.049834,2.2099514
10.863313,2.2975466
10.582824,2.323162
10.581964,2.3477073
2.7140784,8.223106
10.798772,2.2619002
10.538888,2.4070761
11.002497,2.192721
11.053878,2.1336682
10.60618,2.3233898
10.74813,2.2971313
10.743248,2.3223906
11.053163,2.0702765
10.649187,2.499128
11.049269,2.189269
11.035967,2.1570377
10.97332,2.128022
10.621317,2.5224595
11.0468855,2.2351837
10.6226845,2.487378
10.926417,2.2801437
10.663132,2.485547
10.711623,2.4713066
10.552327,2.4100814
10.64303,2.4787638
11.016551,2.2413967
10.558566,2.551094
10.659727,2.5399363
10.599535,2.5376935
10.659322,2.5520277
10.636738,2.5906215
10.60486,2.5438075
10.605947,2.5170398
10.841789,2.3474386
10.698759,2.5525951
10.633683,2.530964
10.974452,2.255412
10.6489315,2.5218759
10.673419,2.4626715
10.464379,2.6280303
10.514273,2.5784807
10.603877,2.5891826
10.647818,2.4928126
9.255423,5.6114798
-9.540937,17.150188
2.8107266,8.1399765
9.112815,5.5476065
-9.350217,17.051596
-0.78913933,19.161076
8.847667,5.5671864
8.854818,5.5661983
8.905315,5.5816565
8.851472,5.5461044
8.762377,5.548538
8.640913,5.510386
8.623125,5.538603
8.671579,5.524247
8.656134,5.520251
8.645872,5.509262
8.654234,5.525249
8.653355,5.506311
8.689047,5.527712
8.633091,5.4824452
8.647576,5.5135627
8.615417,5.4720917
8.6216345,5.4855328
8.640667,5.5021257
8.615786,5.4814153
8.608234,5.4711766
8.636338,5.488263
8.628222,5.48027
8.617534,5.4626894
8.6219,5.482308
8.601917,5.467278
8.629938,5.4813037
8.616272,5.478429
8.616181,5.4853396
8.627193,5.4740267
8.632706,5.494066
8.629207,5.481439
-0.91142726,19.016933
2.8406706,8.1037245
2.867038,8.168262
8.886265,5.5573297
9.381846,5.6799493
9.094597,5.535307
9.193435,5.577469
9.160321,5.5345464
9.126691,5.5514407
9.120212,5.524663
9.122136,5.561418
9.098409,5.528487
9.138539,5.5627728
9.130356,5.5544696
9.166237,5.569167
9.245578,5.578324
9.183529,5.5556865
9.200792,5.568693
9.201446,5.566916
9.188149,5.5698833
9.241361,5.5961123
9.200944,5.5590525
9.230457,5.5878444
2.8167772,8.154543
2.796112,8.217646
9.34085,5.6509256
9.37681,5.6736145
9.337963,5.650155
9.339652,5.6513934
9.364257,5.665817
9.345294,5.6566544
9.379377,5.687792
9.340877,5.6509056
9.3594,5.6731734
9.341389,5.653333
9.344427,5.6508064
9.311763,5.636602
2.8303404,8.226922
9.333785,5.646366
9.330551,5.6503005
9.343889,5.6537557
9.370883,5.6016793
9.331236,5.649181
9.335279,5.656113
9.342263,5.6446652
2.7256093,8.1769085
2.784307,8.1378145
2.7695773,8.152972
10.066097,3.3330905
10.029917,3.3570821
10.093985,3.3341794
10.058323,3.33334
10.036622,3.3508744
10.036402,3.3460922
10.03866,3.2937572
10.050964,3.3103368
10.0857525,3.1240728
10.071865,3.113252
10.133479,3.0806813
10.09937,3.114693
10.083628,3.122772
10.114767,3.09227
10.132918,3.0862648
10.046302,3.1678867
10.07632,3.128507
2.7442758,8.1440115
2.7148285,8.182603
10.260951,2.9671462
10.218599,3.0030599
10.231654,2.9960158
10.219732,2.9961708
10.206281,3.0240781
10.226152,3.0011892
10.2447195,2.9826963
9.788172,3.3249583
10.224666,2.993495
2.7104142,8.186157
10.736477,2.6371284
10.369747,2.8732493
10.340125,2.897947
10.210861,3.006499
10.224195,2.9993548
2.699217,8.211446
2.7237024,8.175535
10.256925,2.9731853
10.375003,2.862772
2.7081764,8.188513
10.080654,3.125717
2.7242815,8.188003
2.7330532,8.168966
2.7250273,8.189863
2.738989,8.205031
2.7504041,8.168651
2.737512,8.189213
2.715414,8.190514
2.7387996,8.17638
-9.353456,16.913223
2.8309853,8.151038
-0.9170586,19.013578
-0.90089947,19.03944
-0.9821704,18.965544
-0.927474,19.007765
-0.93664986,19.00125
2.823744,8.130003
-0.92534477,19.016565
-0.9020795,19.03181
-0.9297,19.00705
-0.90621156,19.048628
-0.91368216,19.020403
-0.9001124,19.03152
-0.8818861,19.050034
-0.89699763,19.032164
-9.3631315,16.95768
-9.387371,16.974777
-9.341546,16.923616
-9.352271,16.91428
-9.358103,16.923645
-0.8089369,19.134647
-9.315844,17.158936
-9.380402,16.966196
-9.350326,16.926119
-9.358519,16.966242
-9.353533,16.932358
-9.580634,17.17653
-0.8898595,19.042187
-9.378973,16.949888
-9.354004,16.955706
-9.358534,16.93599
-9.357022,16.952938
-9.3629875,16.967651
-9.35116,16.952702
-9.343146,16.958214
-0.65735793,19.289707
-9.354987,17.264748
-0.6435928,19.2783
-0.6482301,19.22985
8.970778,4.3469253
-9.327189,17.32976
-9.353434,17.35654
-9.37825,17.27496
8.976631,4.416209
-9.557533,17.175556
2.8027668,8.145741
-0.64608645,19.219307
-0.6374076,19.244772
-0.60734814,19.257254
8.960902,4.350504
-9.358436,17.290083
-9.536307,17.180103
2.8514223,8.096538
2.847484,8.093164
-9.352564,17.353563
-0.60378045,19.32845
-9.3635,17.40712
-0.57211447,19.339447
-0.5700791,19.348152
2.8865337,8.060073
-9.386048,17.314367
-0.5569889,19.305803
-0.62897134,19.368368
-0.5670676,19.327127
-0.59468967,19.320276
-0.5632808,19.324907
-0.5538485,19.337729
-0.5731745,19.318392
-0.53765166,19.298326
2.8744316,8.066984
-0.56163144,19.320328
-0.5425165,19.329613
-9.378814,17.434359
8.957663,4.185649
-9.340634,17.384348
-9.475916,17.505205
8.971439,4.1379004
-9.38198,17.430574
-9.404341,17.456718
-0.56925297,19.300367
-0.5626196,19.328552
8.984301,3.7377617
9.104587,3.8345993
9.100831,3.8634787
2.8364813,8.109217
9.106346,3.8330045
9.1038265,3.8554976
9.090471,3.8020546
9.118138,3.8294556
2.8504667,8.080889
9.131485,3.8299215
9.114784,3.8206413
9.23064,3.716592
9.171204,3.7752938
9.181461,3.7607205
9.155167,3.7615683
9.583547,3.4861617
9.210154,3.7544587
9.703717,3.4201963
9.698303,3.4447048
9.643252,3.4196103
9.457451,3.5906992
9.570981,3.4993873
9.634064,3.468577
9.615474,3.450631
9.604707,3.4643064
9.620305,3.454511
9.662178,3.4022596
9.638312,3.4186506
9.602526,3.4783094
9.667153,3.4411395
2.7208664,8.146438
9.71958,3.3983884
9.695138,3.4273171
9.660443,3.4401174
9.603795,3.4683616
9.600041,3.4826713
9.63149,3.462153
9.626093,3.4694798
-9.548664,17.179127
2.7604396,8.168587
9.694679,3.388325
9.661512,3.514415
9.602803,3.5169861
9.6403,3.458515
-9.337265,17.225328
9.636946,3.4854572
9.617547,3.4809058
9.626715,3.493799
9.662277,3.3895674
9.5998335,3.4723842
9.668417,3.403698
-9.352545,16.964558
-9.435063,17.051977
-9.384915,17.01444
-9.392566,17.027025
-0.866171,19.056904
-0.8571182,19.05418
-0.7983149,19.11911
-0.83982146,19.062391
-0.8433756,19.07111
-9.46648,17.084866
-0.7206835,19.153122
-0.6814947,19.181618
-0.6494355,19.202665
-9.492335,17.303495
-9.460911,17.342165
-9.50445,17.342049
-9.484522,17.340105
-9.51099,17.314884
-0.56912446,19.195616
8.97087,4.194228
-9.520698,17.356781
-9.464618,17.407536
-9.482906,17.3778
-9.5687895,17.227674
-0.60470504,19.183846
-0.32935455,19.297215
-0.43981165,19.254967
-9.553307,17.560217
-9.581597,17.557615
-0.33279228,19.240723
-9.723061,17.771242
-9.698111,17.742939
-0.27527282,19.24157
-0.3222801,19.233164
-0.32894197,19.23802
-9.691668,17.750702
-9.611833,17.682304
-9.720413,17.788818
-0.25670114,19.283735
-0.2451702,19.23133
-0.2818101,19.253864
-0.24734631,19.254496
-9.761483,17.851425
-9.760503,17.853113
-9.795118,17.890038
-9.787314,17.880272
-9.753075,17.847471
-9.766172,17.862844
-9.739,17.83418
-9.771318,17.881304
-9.762293,17.863295
8.906809,4.0236683
-9.758409,17.850313
8.890687,3.9861999
-9.671013,17.767105
-9.639374,17.71076
2.9043498,8.041241
-9.656751,17.709156
-9.587245,17.673758
-0.3039048,19.272894
-0.24601403,19.267206
-0.27761415,19.257612
-0.25252506,19.265078
-9.750668,17.847902
-9.747287,17.847855
-9.754453,17.857422
-9.742622,17.848015
-9.790631,17.906473
-0.27022153,19.278841
-0.24540822,19.283287
-9.778493,17.885174
-0.25428537,19.28523
-9.776077,17.894217
-0.23994926,19.28867
-9.793831,17.91804
-0.26751545,19.284575
-0.2447645,19.282139
-9.77772,17.903496
-9.788219,17.901854
-9.752101,17.859768
-0.22744732,19.274242
-9.776819,17.887535
2.9669197,7.962824
8.797972,3.9395645
-0.25184155,19.28186
2.8985045,8.036587
8.795988,3.9089355
8.81071,3.8933184
8.728462,3.9327679
-9.428346,17.598333
8.774033,3.9229186
8.76193,3.8760824
8.81965,3.8586504
8.757045,3.9240608
8.812705,3.8719332
-9.425074,17.583344
8.795798,3.8448465
-0.46113873,19.272701
-9.41219,17.547897
8.845806,3.835858
8.814233,3.867679
-9.38395,17.569283
2.8888638,8.050497
8.802635,3.8515356
8.838222,3.8088357
8.831799,3.8567975
-9.380021,17.551514
-9.398627,17.54198
